Title,published_date,Views,Comments,Likes
How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04T15:00:00Z,12016,145,744
How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02T15:00:13Z,18118,89,574
Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31T15:00:15Z,18362,93,796
Why I'm Starting Data Science Over Again.,2020-08-29T15:30:10Z,50852,450,2592
Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26T15:00:03Z,15453,78,638
Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24T15:00:31Z,13644,55,479
Don't Buy My Course..,2020-08-21T16:00:32Z,7356,146,359
How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19T15:00:11Z,29181,166,1106
Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17T15:00:07Z,3277,38,127
Data Scientist Dismantles the YouTube Algorithm.,2020-08-14T15:00:31Z,6385,108,539
Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12T15:30:26Z,5109,39,188
Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10T15:00:08Z,13578,53,423
The Plagiarism Problem in Data Science,2020-08-07T15:00:16Z,13126,145,628
Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05T15:00:09Z,14566,89,603
Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03T15:00:08Z,4968,56,186
My First Data Science Contracting Side-Gig (How I Did It),2020-07-31T14:30:01Z,11569,90,583
Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30T01:00:10Z,2363,34,116
Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27T15:00:30Z,5807,112,253
Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24T15:00:11Z,8326,199,246
Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22T15:00:05Z,1879,27,97
Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20T15:00:08Z,29409,90,563
Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17T16:00:05Z,368878,440,7947
Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16T02:00:09Z,30570,121,1123
Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13T16:00:01Z,3668,50,133
The Best Computer for Data Science Beginners,2020-07-10T16:00:09Z,39631,158,867
Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08T21:00:09Z,6187,82,231
Critiquing MY OWN Data Science Resume,2020-07-06T16:00:30Z,12814,88,399
Where to Start Learning Data Science,2020-07-03T16:00:04Z,19145,125,785
"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01T15:00:12Z,4236,35,198
Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29T15:00:08Z,4650,52,176
How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26T15:00:10Z,16816,79,555
Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22T13:00:03Z,2443,40,82
"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20T02:09:18Z,2391,49,139
Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15T13:00:12Z,4437,46,168
Why You're Struggling to Learn Data Science,2020-06-12T13:00:17Z,15344,159,1004
Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08T13:00:21Z,12272,70,365
The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05T13:00:26Z,24456,146,694
Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01T13:00:32Z,5735,53,154
How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29T13:00:21Z,77628,276,2270
Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25T13:00:13Z,21023,81,488
Different Data Science Roles Explained (by a Data Scientist),2020-05-22T13:01:09Z,56900,178,2015
Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18T13:00:22Z,11306,53,179
How to Make A Data Science Portfolio Website with Github Pages,2020-05-15T13:30:00Z,138936,194,4586
10000 Subscriber and 100th Video Special (Data Science),2020-05-13T13:00:17Z,3106,115,147
Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11T13:00:33Z,4573,74,155
How I Would Learn Data Science (If I Had to Start Over),2020-05-08T13:00:03Z,1400710,1987,48911
Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04T13:00:12Z,5627,42,198
What You Need to Know for a Data Science Internship,2020-05-01T13:00:10Z,22737,60,1217
Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27T13:00:10Z,8410,53,348
What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24T13:00:32Z,15006,101,454
Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22T13:00:30Z,3204,24,85
5 Tips for Crushing the Work From Home Life,2020-04-20T13:00:04Z,5467,38,200
Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17T13:00:04Z,22616,129,751
Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15T13:00:32Z,30874,98,747
Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13T13:00:03Z,46139,155,929
Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10T13:00:15Z,75246,214,1932
Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08T13:00:19Z,84196,278,1799
